beoplay-software-update,https://www.beoplay.com/support/product%20support/beoplay%20updater,BeoPlay Software Update,https://www.beoplay.com/~/media/A6EA01EBD2F24D9CB021ADE273141B71.zip,""
beotsmusic,http://beotsmusic.kiding.net/,BeotsMusic,"",""
bestres,http://icyberon.com/bestres/,BestRes,https://dl.devmate.com/com.icyberon.BestRes/BestRes.zip,latest
better-window-manager,https://www.gngrwzrd.com/better-window-manager/,Better Window Manager,"",""
bettertouchtool,https://www.boastr.net/,BetterTouchTool,"",""
betterzip,https://macitbetter.com,BetterZip,"",""
betterzipql,https://macitbetter.com/BetterZip-Quick-Look-Generator/,BetterZipQL,https://macitbetter.com/BetterZipQL.zip,latest
between,https://between.us,Between,http://assets-pc.between.us/downloads/between-latest.dmg,latest
betwixt,https://github.com/kdzwinel/betwixt,Betwixt,"",""
beyerdynamicvs,https://www.beyerdynamic.com/virtual-studio.html,beyerdynamic Virtual Studio,http://www.beyerdynamic.com/fileadmin/editors/downloads/virtualstudio/beyerdynamic-virtual-studio_04-13.zip,""
beyond-compare,http://www.scootersoftware.com/,Beyond Compare,"",""
bezel,http://infinitapps.com/bezel/,bezel,"",""
bfxr,http://www.bfxr.net/,Bfxr,https://ded.bfxr.net/~locus/bfxr_update/Bfxr_MAC.zip,latest
biba,http://www.biba.com/,Biba,"",""
bibdesk,http://bibdesk.sourceforge.net/,BibDesk,"",""
big-mean-folder-machine,http://www.publicspace.net/BigMeanFolderMachine/,Big Mean Folder Machine,http://www.publicspace.net/download/BMFM.dmg,""
biicode,https://biicode.github.io/biicode/,Biicode,"",""
bilibili,https://github.com/typcn/bilibili-mac-client/,Bilibili,"",""
bill,https://billtheapp.com/,Bill,https://myownapp.com/downloads/Bill2.zip,latest
bimedesktop,https://www.bimeanalytics.com/,BIME Desktop,https://s3.amazonaws.com/bimeio/bimedesktop/BimeDesktop-mac.zip,latest
bink-player,http://www.radgametools.com/bnkdown.htm,Bink Video Player,http://www.radgametools.com/down/Bink/BinkMacPlayer.dmg,latest
bino,http://bino3d.org,Bino,"",""
birdfont,https://birdfont.org/,BirdFont,"",""
bit-slicer,https://github.com/zorgiepoo/bit-slicer/,Bit Slicer,"",""
bitbar,https://github.com/matryer/bitbar/,BitBar,"",""
bitcasa,https://www.bitcasa.com,Bitcasa CloudFS,"",""
bitcoin-core,https://bitcoincore.org/,Bitcoin Core,"",""
bitcoin-xt,https://bitcoinxt.software/,Bitcoin XT,"",""
bitkeeper,https://www.bitkeeper.org,BitKeeper,"",""
bitlord,http://www.bitlord.com,BitLord,"",""
bitmessage,https://bitmessage.org/,Bitmessage,"",""
bitpim,http://www.bitpim.org/,BitPim,"",""
bitpost,https://voluntary.net/bitpost/,Bitpost,"",""
bitscope-chart,http://www.bitscope.com,BitScope Chart,"",""
bitscope-dso,http://www.bitscope.com,BitScope DSO,"",""
bitscope-logic,http://www.bitscope.com,BitScope Logic,"",""
bitscope-meter,http://www.bitscope.com,BitScope Meter,"",""
bitsquare,https://bitsquare.io,Bitsquare,"",""
bittorrent,https://www.bittorrent.com,BitTorrent,https://download-new.utorrent.com/os/osx/track/stable/endpoint/btmac,latest
bitwig-studio,http://www.bitwig.com,Bitwig Studio,"",""
black-ink,https://red-sweater.com/blackink/,Black Ink,"",""
black-light,https://michelf.ca/projects/black-light/,Black Light,"",""
black-screen,https://github.com/shockone/black-screen,Black Screen,"",""
blackvue-viewer,https://www.blackvue.com/,BlackVue Viewer,"",""
blast2go,https://www.blast2go.com/,Blast2GO,"",""
bleep,http://www.bleep.pm/,BitTorrent Bleep,https://download-new.utorrent.com/endpoint/bleep/os/osx/track/stable/,""
blender,https://www.blender.org/,Blender,"",""
blink1control,https://blink1.thingm.com/,Blink1Control,"",""
blisk,https://blisk.io,Blisk Browser,"",""
blobby-volley2,http://blobby.sourceforge.net,Blobby Volley 2,"",""
blockblock,https://objective-see.com/products/blockblock.html,BlockBlock,"",""
blocs,http://blocsapp.com/,Blocs,"",""
bloodhound,https://github.com/adaptivethreat/BloodHound,bloodhound,"",""
bloom,https://thebloomapp.com/features/,Bloom,https://thebloomapp.com/dn/Bloom.pkg,latest
blu-ray-player,http://www.macblurayplayer.com/,Macgo Mac Blu-ray Player,http://www.macblurayplayer.com/user/download/Mac_Bluray_Player.dmg,latest
